userId,movieId,rating,timestamp,user_idx,movie_idx
1,204,0.5,1217895786,0,176
1,256,0.5,1217895764,0,226
1,277,0.5,1217895772,0,246
1,719,0.5,1217895799,0,610
1,45950,0.5,1217897813,0,7042
1,57949,0.5,1217896004,0,7621
5,110,0.5,1303501027,4,98
5,231,0.5,1303501088,4,202
5,500,0.5,1303501086,4,445
5,592,0.5,1303501032,4,524
5,1012,0.5,1303499244,4,820
5,2427,0.5,1303499066,4,1936
5,2490,0.5,1303499081,4,1991
7,1954,0.5,1322063818,6,1520
7,6794,0.5,1322057726,6,4957
10,1298,0.5,1318896487,9,1056
17,51662,0.5,1234635014,16,7304
17,58107,0.5,1359557462,16,7634
19,3578,0.5,1442282081,18,2836
19,3793,0.5,1442282096,18,2999
19,3948,0.5,1442282140,18,3107
19,4306,0.5,1442282084,18,3379
19,4963,0.5,1442282105,18,3859
19,4993,0.5,1442282091,18,3885
19,5349,0.5,1442282111,18,4108
19,5816,0.5,1442282172,18,4385
19,5952,0.5,1442282090,18,4457
19,6333,0.5,1442282176,18,4680
19,6539,0.5,1442282098,18,4802
19,7153,0.5,1442282088,18,5206
19,7318,0.5,1442282668,18,5304
19,8360,0.5,1442282170,18,5616
19,8368,0.5,1442282187,18,5622
19,8636,0.5,1442282155,18,5724
19,51662,0.5,1442282206,18,7304
19,58559,0.5,1442282109,18,7666
19,69122,0.5,1442282278,18,8126
19,72998,0.5,1442282208,18,8347
20,1012,0.5,1289756796,19,820
20,8376,0.5,1289756677,19,5628
21,46062,0.5,1428013268,20,7046
21,61123,0.5,1428013441,20,7822
22,552,0.5,1111573271,21,495
22,2054,0.5,1111573246,21,1614
22,8531,0.5,1111575977,21,5678
23,3911,0.5,1420797527,22,3082
30,2371,0.5,1292639458,29,1882
30,70305,0.5,1292638114,29,8183
38,661,0.5,1407899827,37,571
38,1293,0.5,1406483794,37,1052
38,2054,0.5,1407899837,37,1614
38,2354,0.5,1409371463,37,1865
38,3615,0.5,1407899846,37,2860
38,3930,0.5,1406487364,37,3096
38,3996,0.5,1406487375,37,3149
38,5540,0.5,1406487362,37,4235
38,6566,0.5,1406491679,37,4818
