userId,movieId,rating,timestamp,user_idx,movie_idx
143,150,5.0,841221776,142,126
575,7947,2.5,1085090436,574,5521
296,1370,3.5,1085798578,295,1111
426,1301,4.0,973997536,425,1059
473,344,2.0,836972430,472,304
458,111781,2.5,1446749952,457,9973
87,27904,3.5,1173622708,86,6405
668,7373,3.0,1091900475,667,5335
128,73511,3.0,1262954385,127,8382
308,457,4.0,1233208531,307,405
603,585,2.0,860499479,602,518
22,4370,3.5,1111576185,21,3424
520,116797,4.0,1449866355,519,10086
193,924,1.0,944901439,192,745
63,3793,3.5,1299506138,62,2999
54,4310,3.0,1146941169,53,3382
24,22,5.0,963468987,23,21
189,4405,4.5,1195628121,188,3449
390,648,3.0,839947316,389,564
458,101137,2.0,1377030365,457,9620
171,12,3.0,852833860,170,11
337,786,4.0,962606442,336,652
425,2641,1.0,1077476521,424,2108
567,1246,4.0,1129522374,566,1005
71,3259,3.5,1063749118,70,2599
656,339,4.0,838777501,655,299
62,45499,2.0,1268781287,61,7016
567,88,3.5,1129534355,566,81
633,30749,4.0,1134971943,632,6410
556,765,4.0,862828849,555,640
54,2710,1.0,1146935948,53,2166
458,1247,5.0,975779756,457,1006
475,750,4.0,1364914253,474,630
164,78467,3.0,1440812613,163,8593
350,72998,3.0,1425024328,349,8347
96,805,4.0,857048837,95,661
4,3095,5.0,950323441,3,2477
213,344,3.5,1129881150,212,304
558,201,1.0,841574659,557,173
599,81564,4.0,1424824687,598,8757
422,912,3.0,1063251770,421,733
235,2054,3.0,954450656,234,1614
177,112,3.5,1074041837,176,100
436,355,3.0,837694138,435,315
659,104319,4.5,1394644636,658,9761
415,48516,5.0,1341263225,414,7158
187,1270,5.0,863205737,186,1029
24,2529,4.0,963470015,23,2021
236,2318,4.0,1119991473,235,1833
458,5250,3.0,1055065403,457,4054
668,4359,3.5,1309637431,667,3416
504,89774,5.0,1447973809,503,9124
150,5401,4.0,1042253236,149,4145
232,1198,5.0,1277374527,231,960
642,97860,3.0,1439771976,641,9494
224,86345,4.5,1420794864,223,8955
458,481,4.0,953241591,457,427
471,2167,1.0,972782300,470,1722
128,55721,3.5,1277945132,127,7531
174,2696,4.0,1276658997,173,2154
104,163,5.0,836834971,103,139
290,4447,3.0,1405039871,289,3481
445,300,3.0,866303479,444,263
621,2953,1.0,1289746628,620,2363
637,2174,5.0,983920236,636,1729
107,1966,3.0,958159904,106,1532
604,858,5.0,1448883003,603,695
575,2393,1.0,939817298,574,1903
244,2473,2.0,953172556,243,1978
461,55282,2.5,1242373858,460,7503
662,1276,5.0,945174691,661,1035
354,2099,3.0,965328175,353,1658
232,742,4.0,1278820164,231,624
63,3578,3.5,1299478499,62,2836
652,3051,4.0,974692862,651,2440
22,3253,3.5,1111576297,21,2593
24,3044,5.0,963467781,23,2434
230,2795,3.5,1192688749,229,2236
247,3948,3.0,1451122428,246,3107
137,1198,4.0,1226039041,136,960
62,4874,3.0,1269331694,61,3803
461,65514,4.0,1269344188,460,7981
202,593,4.0,1174785618,201,525
627,2231,3.5,1237932815,626,1769
531,3408,4.0,1447663634,530,2703
326,25,4.0,844184399,325,24
410,6377,2.5,1138480631,409,4704
572,780,2.0,855516357,571,646
47,630,3.0,843830061,46,553
232,4447,2.5,1277839354,231,3481
203,485,2.0,955137338,202,430
568,587,3.0,1142789317,567,520
403,919,4.0,1222682308,402,740
83,30707,2.5,1418840911,82,6408
561,2311,4.0,944927862,560,1827
578,783,3.0,858655379,577,649
575,4556,2.0,994593792,574,3563
41,1517,4.5,1067129739,40,1225
492,208,3.0,835505881,491,180
434,3173,3.5,1241406031,433,2539
77,6539,3.5,1085081204,76,4802
112,2529,2.0,956590883,111,2021
668,1900,3.5,1085840358,667,1475
408,344,5.0,831667390,407,304
196,262,4.0,834707854,195,232
656,303,3.0,838778008,655,266
376,2012,1.0,942195265,375,1574
411,161,4.0,833711474,410,137
569,172,2.0,1245982750,568,147
130,920,2.0,947478518,129,741
499,50872,3.5,1278288554,498,7270
417,3095,5.0,956691739,416,2477
63,920,4.0,1299505685,62,741
380,457,5.0,1020278424,379,405
584,307,3.0,944925912,583,270
668,647,3.0,1041361287,667,563
275,2550,2.5,1136701582,274,2039
413,63131,4.0,1308825111,412,7913
164,2278,4.5,1440964797,163,1802
373,2005,4.5,1449332941,372,1568
276,1200,4.5,1334390650,275,962
192,6944,3.5,1077120720,191,5042
607,5540,4.0,1029621666,606,4235
330,3671,3.0,1021829961,329,2897
327,2329,3.5,1167368235,326,1843
283,1363,2.0,868262556,282,1107
220,315,3.5,1111994830,219,276
451,1591,3.5,1138618163,450,1271
575,1215,2.5,1203012588,574,976
434,64614,4.0,1245077008,433,7948
545,293,4.0,845322176,544,258
465,1358,4.0,1097880124,464,1104
194,88163,4.0,1364052393,193,9050
232,8865,3.5,1277841497,231,5827
443,1931,4.0,915220210,442,1498
575,60074,2.5,1228429131,574,7759
